agency,description,name,price
Russ Lyon Sotheby's International Realty,"Goodyear, AZ 85338",2489 N 135 Drive,"$1,700,000"
West Usa Realty,"Goodyear, AZ 85338",10702 S Sunset Drive,"$1,425,000"
Realty One Group,"Goodyear, AZ 85395",4496 N 183rd Avenue,"$1,050,000"
Libertas Real Estate,"Goodyear, AZ 85395",15650 W Vernon Avenue,"$879,000"
Exp Realty,"Goodyear, AZ 85395",16183 W Glenrosa Avenue,"$850,000"
Charity Realty Az Corp,"Goodyear, AZ 85338",18134 W Estes Way,"$850,000"
Keller Williams Elite,"Goodyear, AZ 85395",14344 W Alvarado Drive,"$825,000"
West Usa Realty,"Goodyear, AZ 85395",16088 W Wilshire Drive,"$798,000"
Exp Realty,"Goodyear, AZ 85338",18365 W Vista Norte Street,"$775,000"
Berkshire Hathaway Homeservices Arizona Properties,"Goodyear, AZ 85338",3528 S 184th Lane,"$775,000"
Fulton Home Sales Corporation,"Goodyear, AZ 85338",15298 W Linden Street,"$773,773"
Mountain Lake Realty,"Goodyear, AZ 85395",16550 W Holly Street,"$760,000"
Keller Williams Realty Phoenix,"Maricopa, AZ 85139",13040 N Hidden Valley Road,"$1,980,000"
"Weichert, Realtors-Home Pro Realty","Maricopa, AZ 85139",52615 W Esch Trail,"$699,900"
Home & Away Realty,"Maricopa, AZ 85139",259 S Garnet Road,"$670,000"
Keller Williams Realty Sonoran Living,"Maricopa, AZ 85139",43914 W Scenic Drive,"$650,000"
Homesmart Premier,"Maricopa, AZ 85139",21918 N Sunset Drive,"$639,900"
"Opendoor Brokerage, Llc","Maricopa, AZ 85138",40924 W Wade Drive,"$637,000"
Delex Realty,"Maricopa, AZ 85138",43438 W Sansom Drive,"$600,000"
Coldwell Banker Realty,"Maricopa, AZ 85139",44159 W Canyon Creek Drive,"$600,000"
Infinity & Associates Real Estate,"Maricopa, AZ 85139",50134 W Gail Lane,"$595,000"
The Brokerage House,"Maricopa, AZ 85139",12090 N Allegro Road,"$560,000"
Limitless Real Estate,"Maricopa, AZ 85138",43983 W Palo Amarillo Road,"$560,000"
Keller Williams Realty Phoenix,"Maricopa, AZ 85138",40835 W Agave Road,"$550,000"
Urbanity Properties,"Tempe, AZ 85284",2138 E Calle De Arcos Road,"$2,950,000"
Realty Executives,"Tempe, AZ 85281",1224 S Maple Avenue,"$1,950,000"
Russ Lyon Sotheby's International Realty,"Tempe, AZ 85281",140 E Rio Salado Parkway #607,"$1,500,000"
Tru Realty,"Tempe, AZ 85281",1895 E Hayden Lane,"$950,000"
Redfin Corporation,"Tempe, AZ 85281",1220 S Mill Avenue,"$950,000"
RE/MAX Excalibur,"Tempe, AZ 85281",1008 S Wilson Street,"$940,000"
Homesmart,"Tempe, AZ 85284",8629 S Newberry Lane,"$899,000"
Russ Lyon Sotheby's International Realty,"Tempe, AZ 85281",140 E Rio Salado Parkway #503,"$775,000"
Realty Executives,"Tempe, AZ 85282",2924 S Fairway Drive,"$769,900"
My Home Group Real Estate,"Tempe, AZ 85281",506 S Hardy Drive #1002,"$750,000"
Homesmart,"Tempe, AZ 85281",319 E Fillmore Street,"$750,000"
"Opendoor Brokerage, Llc","Tempe, AZ 85284",378 W Stacey Lane,"$733,000"
